Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Suspected Physical Attack,2013,10/26/2013,7:13 AM,10/26/2013,7:14 AM,Arizona Public Service Co,Arizona,WECC,Unknown,Unknown,"vandalism, physical"
Electrical System Separation (Islanding),2013,10/21/2013,5:18 AM,10/21/2013,5:33 AM,Pacific Gas & Electric Co,Unknown,WECC,115,433,islanding
Physical Attack,2013,10/19/2013,2:32 PM,10/19/2013,10:00 PM,Pacific Gas & Electric Co,California,WECC,Unknown,Unknown,"vandalism, physical"
Cyber Event with Potential to Cause Impact,2013,10/16/2013,11:15 AM,10/16/2013,6:00 PM,Duke Energy Progress,North Carolina,SERC,0,0,"vandalism, cyber"
Physical Attack,2013,10/11/2013,2:30 PM,10/11/2013,6:30 PM,MISO - Entergy,Arkansas,SERC,Unknown,Unknown,"vandalism, physical"
Physical Attack,2013,10/6/2013,7:25 AM,10/6/2013,9:15 AM,MISO - AECC,Arkansas,SPP,Unknown,"9,200","vandalism, physical"
Physcial Attack; Sabotage,2013,9/29/2013,12:00 AM,9/29/2013,1:00 AM,Entergy Systems Incorporated,Arkansas,SERC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2013,9/11/2013,4:00 PM,9/15/2013,4:00 PM,Detroit Edison Co,Michigan,RFC,400,"75,000","severe weather, thunderstorm"
Load Shed of 100+ MW,2013,9/10/2013,5:42 PM,9/11/2013,12:02 AM,PJM Interconnection,Pennsylvania,RFC,105,Unknown,load shedding
Severe Weather - Thunderstorms,2013,8/30/2013,7:30 PM,8/31/2013,1:30 AM,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"157,000","severe weather, thunderstorm"
Electrical System Separation (Islanding); Severe Weather,2013,8/29/2013,2:57 PM,8/29/2013,3:29 PM,Xcel Energy,Wisconsin,MRO,15,"7,000","islanding, severe weather"
Physcial Attack; Vandalism,2013,8/29/2013,9:50 AM,8/29/2013,9:50 AM,Empire District Electric Co,Missouri,SPP,Unknown,Unknown,"vandalism, physical"
Physcial Attack; Vandalism,2013,8/28/2013,9:30 AM,8/28/2013,9:31 AM,PacifiCorp,Wyoming,WECC,N/A,N/A,"vandalism, physical"
Physcial Attack; Vandalism,2013,8/26/2013,8:15 PM,8/26/2013,8:16 PM,Tacoma Power (TPWR),Washington,WECC,Unknown,Unknown,"vandalism, physical"
Physcial Attack; Vandalism,2013,8/23/2013,7:30 AM,8/23/2013,7:31 AM,Delmarva Power & Light Company,Delaware,RFC,Unknown,N/A,"vandalism, physical"
Physcial Attack; Vandalism,2013,8/22/2013,12:55 PM,8/22/2013,2:45 PM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical"
Physcial Attack; Sabotage,2013,8/22/2013,8:40 AM,8/22/2013,11:49 AM,Constellation Energy Control & Dispatch - for Gila River,Arizona,WECC,N/A,N/A,"vandalism, physical"
Physcial Attack; Sabotage,2013,8/21/2013,2:00 PM,8/21/2013,2:01 PM,Entergy Arkansas Inc,Arkansas,SERC,N/A,N/A,"vandalism, physical"
Severe Weather - Lightning Strike,2013,8/19/2013,7:06 PM,8/20/2013,6:02 AM,Southern California Edison Co,California,WECC,685,"124,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,8/16/2013,4:58 PM,8/17/2013,11:58 PM,CenterPoint Energy,Texas,TRE,Unknown,"219,681","severe weather, thunderstorm"
Suspicious Activity,2013,8/12/2013,11:55 AM,8/12/2013,11:59 AM,PacifiCorp,Oregon,WECC,Unknown,Unknown,vandalism
Severe Weather - Thunderstorms,2013,8/7/2013,12:15 AM,8/7/2013,9:27 PM,We Energies,Wisconsin,MRO,220,"51,160","severe weather, thunderstorm"
Physcial Attack; Vandalism,2013,8/7/2013,2:30 PM,8/8/2013,1:00 PM,"Caithness Shepherds Flat, LLC",Oregon,WECC,Unknown,Unknown,"vandalism, physical"
Fuel Supply Emergency (Natural Gas & Fuel Oil),2013,8/7/2013,7:30 AM,8/7/2013,9:14 AM,Wisconsin Public Service Corp,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, natural gas"
Physcial Attack; Vandalism,2013,8/6/2013,4:00 PM,8/6/2013,5:32 PM,El Paso Electric,New Mexico,WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack; Vandalism,2013,8/4/2013,3:00 AM,8/4/2013,4:00 AM,Pacificorp,Utah,WECC,N/A,N/A,"vandalism, physical"
Physical Attack; Copper Theft,2013,8/1/2013,11:00 AM,8/1/2013,4:00 PM,Central Hudson Gas & Electric,New York,NPCC,N/A,N/A,"vandalism, physical"
Loss of 300+ MW Load,2013,8/1/2013,11:19 PM,8/2/2013,12:49 AM,Florida Power & Light Co,Florida,FRCC,297,"104,498",load shedding
Physical Attack; Vandalism,2013,7/25/2013,1:10 PM,7/25/2013,1:15 PM,Tacoma Power (TPWR),Washington,WECC,N/A,N/A,"vandalism, physical"
Severe Weather - Thunderstorms,2013,7/23/2013,11:38 PM,7/25/2013,4:30 AM,American Electric Power,Oklahoma,SPP,500,"92,748","severe weather, thunderstorm"
Physical Attack; Vandalism,2013,7/22/2013,7:00 AM,7/22/2013,3:00 PM,Terra-Gen Operating Company,California,WECC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2013,7/19/2013,10:30 PM,7/21/2013,8:00 PM,Niagara Mohawk Power Corporation (dba National Grid),New York,NPCC,Unknown,"74,300","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,7/19/2013,6:00 PM,7/20/2013,9:00 AM,Detroit Edison Co,Michigan,RFC,Unknown,"156,627","severe weather, thunderstorm"
Public Appeal - Heatwave,2013,7/18/2013,11:30 AM,7/19/2013,5:30 PM,Niagara Mohawk Power Corp.,New York,NPCC,Unknown,Unknown,"public appeal, severe weather, heat"
Equipment Failure,2013,7/18/2013,11:45 PM,7/19/2013,10:05 AM,San Diego Gas & Electric Co,California,WECC,200,"123,000",equipment failure
Physical Attack; Vandalism,2013,7/18/2013,3:15 AM,7/18/2013,3:59 AM,PacifiCorp,Utah,WECC,N/A,N/A,"vandalism, physical"
Fuel Supply Emergency (Natural Gas),2013,7/17/2013,3:30 PM,7/19/2013,6:45 AM,Long Island Power Authority,New York,NPCC,417,Unknown,"fuel supply emergency, natural gas"
Physical Attack; Vandalism,2013,7/12/2013,10:00 AM,7/12/2013,10:01 AM,Tacoma Power (TPWR),Washington,WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack; Vandalism,2013,7/11/2013,11:20 PM,7/14/2013,3:22 PM,Arizona Public Service Co,Arizona,WECC,455,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2013,7/10/2013,5:30 PM,7/11/2013,8:00 PM,American Electric Power,Ohio,RFC,N/A,"122,314","severe weather, thunderstorm"
Physical Attack; Copper Theft,2013,7/10/2013,2:30 PM,7/10/2013,2:45 PM,ISO New England,Massachusetts,NPCC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2013,7/5/2013,12:05 AM,7/5/2013,1:51 AM,Pacific Gas & Electric Co,California,WECC,Unknown,"2,500","vandalism, physical"
Voltage Reduction; Line and Generator Trip,2013,7/3/2013,12:04 PM,7/3/2013,12:48 PM,Puerto Rico Electric Power Authority,Puerto Rico,PR,480,"393,000","voltage reduction, generator trip"
Suspected Physical Attack,2013,7/3/2013,9:34 AM,7/3/2013,10:52 AM,Sacramento Municipal Utility District,California,WECC,0,0,"vandalism, physical"
Equipment Failure,2013,6/28/2013,6:02 PM,6/28/2013,8:46 PM,Southern California Edison Co,California,WECC,240,"65,255",equipment failure
Physical Attack; Vandalism,2013,6/28/2013,5:14 PM,6/28/2013,5:15 PM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack; Vandalism,2013,6/28/2013,1:00 PM,6/28/2013,1:01 PM,ISO New England,Vermont,NPCC,Unknown,Unknown,"vandalism, physical"
Physical Attack; Vandalism,2013,6/27/2013,1:10 AM,6/27/2013,2:45 AM,Potomac Electric Power Company,Maryland,RFC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2013,6/27/2013,5:00 PM,6/28/2013,12:00 AM,Detroit Edison Co,Michigan,RFC,Unknown,"138,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/24/2013,7:30 PM,6/25/2013,5:46 PM,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"283,451","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/24/2013,7:30 PM,6/26/2013,5:00 PM,Northern Indiana Public Service Company,Indiana,RFC,Unknown,"86,615","severe weather, thunderstorm"
Severe Weather - Fog,2013,6/23/2013,9:20 PM,6/24/2013,1:35 AM,Pacific Gas & Electric Co,California,WECC,Unknown,"148,000","severe weather, fog"
Physical Attack; Vandalism,2013,6/22/2013,4:59 AM,6/22/2013,9:28 PM,PacifiCorp,Oregon,WECC,N/A,N/A,"vandalism, physical"
Suspected Physical Attack,2013,6/22/2013,4:12 PM,6/22/2013,5:45 PM,NorthWestern Energy LLC - (MT),Montana,WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack; Vandalism,2013,6/21/2013,11:14 PM,6/21/2013,11:15 PM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical"
Suspected Cyber Attack,2013,6/21/2013,8:31 AM,10/30/2013,2:09 PM,ITC Transmission,Iowa,MRO,Unknown,Unknown,"vandalism, cyber"
Physical Attack; Vandalism & Sabotage,2013,6/21/2013,7:40 AM,6/21/2013,12:14 PM,"Valley Electric Assn, Inc",Nevada,WECC,Unknown,"1,100","vandalism, physical"
Severe Weather - Hailstorm,2013,6/21/2013,3:00 AM,6/26/2013,12:00 PM,Xcel Energy,Minnesota,MRO,Unknown,"193,000","severe weather, hail"
Severe Weather - Hailstorm,2013,6/21/2013,5:39 PM,6/24/2013,6:00 AM,Xcel Energy,Minnesota,MRO,Unknown,"400,000","severe weather, hail"
Physcial Attack; Vandalism,2013,6/20/2013,6:00 PM,6/21/2013,10:00 AM,Potomac Electric Power Co,Maryland,RFC,Unknown,Unknown,"vandalism, physical"
Electrical System Separation (Islanding),2013,6/18/2013,3:51 PM,6/18/2013,4:23 PM,Western Area Power Administration,Wyoming,WECC,6,Unknown,islanding
Load Shed of 100+ MW Under Emergency Operational Policy,2013,6/17/2013,4:17 PM,6/17/2013,6:49 PM,Tampa Electric Co,Florida,FRCC,180,37,load shedding
Severe Weather - Thunderstorms,2013,6/13/2013,8:47 PM,6/14/2013,10:47 PM,Southern Company,Alabama,SERC,550,"165,798","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/13/2013,3:20 PM,6/14/2013,9:10 PM,American Electric Power,"Ohio, Virginia, West Virginia","RFC, SERC",Unknown,"90,247","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/13/2013,5:45 PM,6/14/2013,6:30 PM,Duke Energy Progress,North Carolina,SERC,Unknown,"53,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/13/2013,1:17 PM,6/14/2013,5:35 PM,Duke Energy Carolinas,North Carolina,SERC,"1,000","175,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,6/13/2013,4:08 PM,6/14/2013,5:16 PM,Dominion Virginia Power,Virginia,SERC,900,"283,000","severe weather, thunderstorm"
Loss of 300+ MW Load; Severe Weather - Thunderstorms,2013,6/13/2013,3:30 PM,6/13/2013,4:00 PM,Potomac Electric Power Company,Maryland,RFC,700,"40,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,5/31/2013,7:30 PM,6/1/2013,8:00 PM,Ameren Missouri,Missouri,SERC,Unknown,"100,000","severe weather, thunderstorm"
Transmission System Interruption,2013,5/31/2013,7:07 PM,6/1/2013,2:15 PM,Coffeyville Municipal Light and Power,Oklahoma,MRO,102,"6,300",transmission interruption
Severe Weather - Tornados,2013,5/31/2013,6:00 PM,6/4/2013,10:30 AM,Oklahoma Gas & Electric Co,Oklahoma,SPP,Unknown,"127,000","severe weather, tornado"
Severe Weather - Lightning,2013,5/31/2013,1:00 AM,5/31/2013,1:30 AM,"Southwest Power Pool, Inc.",Arkansas,SPP,N/A,N/A,"severe weather, thunderstorm"
Vandalism,2013,5/30/2013,10:15 AM,5/30/2013,10:16 AM,New York Power Authority,New York,NPCC,N/A,N/A,vandalism
Severe Weather - Thunderstorms,2013,5/29/2013,8:58 PM,5/31/2013,2:53 PM,Niagara Mohawk Power Corp.,New York,NPCC,Unknown,"61,795","severe weather, thunderstorm"
Vandalism/Theft,2013,5/29/2013,9:52 AM,5/29/2013,9:53 AM,Delmarva Power & Light Company,Delaware,RFC,N/A,N/A,"vandalism, physical"
Physical Attack,2013,5/29/2013,12:00 AM,5/29/2013,12:02 AM,Dominion Virginia Power,Virginia,SERC,Unknown,Unknown,"vandalism, physical"
Vandalism/Theft,2013,5/28/2013,1:00 PM,5/28/2013,6:00 PM,ISO New England,Maine,NPCC,None,None,"vandalism, physical"
System Wide Voltage Reduction,2013,5/22/2013,10:51 AM,5/22/2013,10:57 AM,Puerto Rico Electric Power Authority,Puerto Rico,PR,280,"197,287",voltage reduction
Generator Trip; Load Shed 100+ MW,2013,5/20/2013,5:22 PM,5/20/2013,9:09 PM,Entergy Transmission - SOC,Louisiana,SERC,103,"21,800","load shedding, generator trip"
Severe Weather - Tornados,2013,5/20/2013,3:00 PM,5/22/2013,5:00 PM,Oklahoma Gas & Electric Co,Oklahoma,SPP,Unknown,"41,306","severe weather, tornado"
Vandalism,2013,5/17/2013,8:35 AM,5/17/2013,8:36 AM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,vandalism
Vandalism,2013,5/15/2013,2:11 PM,5/15/2013,2:12 PM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,vandalism
Vandalism/Theft,2013,5/14/2013,12:01 AM,5/14/2013,1:59 PM,PacifiCorp,Oregon,WECC,N/A,N/A,"vandalism, physical"
Vandalism,2013,5/14/2013,10:25 AM,5/14/2013,11:42 AM,Northeast Utilities/Public Service of New Hampshire,New Hampshire,NPCC,N/A,N/A,vandalism
Fuel Supply Emergency - Hydro,2013,5/13/2013,12:52 PM,Ongoing,Ongoing,California Department of Water Resources,California,WECC,176,Unknown,"fuel supply emergency, hydro"
Electrical System Separation (Islanding),2013,5/9/2013,1:21 PM,5/9/2013,4:21 PM,WECC,Washington,WECC,Unknown,Unknown,islanding
Electrical System Separation (Islanding),2013,5/2/2013,6:52 AM,5/2/2013,10:07 AM,WECC,Unknown,WECC,Unknown,Unknown,islanding
Electrical System Separation (Islanding),2013,5/1/2013,9:22 AM,5/1/2013,9:24 AM,Xcel Energy/Public Service Company of Colorado,Colorado,WECC,123,"35,230",islanding
Vandalism,2013,4/25/2013,4:00 PM,4/26/2013,10:55 AM,City and County of San Francisco,California,WECC,0,0,vandalism
Vandalism,2013,4/23/2013,11:00 AM,4/23/2013,11:01 AM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,vandalism
Electrical System Separation (Islanding),2013,4/23/2013,12:49 AM,4/23/2013,4:04 AM,Pacific Gas & Electric Co,California,WECC,80,1,islanding
Suspected Physical Attack,2013,4/21/2013,2:11 AM,4/21/2013,12:30 PM,Tennessee Valley Authority,Tennessee,SERC,N/A,N/A,"vandalism, physical"
Severe Weather - Storms and Wind,2013,4/18/2013,3:00 PM,4/21/2013,3:30 AM,Detroit Edison Co,Michigan,RFC,Unknown,"99,188","severe weather, wind"
Suspected Physical Attack,2013,4/17/2013,3:36 PM,4/17/2013,4:53 PM,Tennessee Valley Authority,Alabama,SERC,Unknown,Unknown,"vandalism, physical"
"Loss of Part of a High Voltage Substation, Physical Attack",2013,4/16/2013,1:47 AM,4/18/2013,3:25 PM,Pacific Gas & Electric Co,California,WECC,N/A,0,vandalism
Vandalism,2013,4/9/2013,11:30 AM,4/9/2013,11:31 AM,Delmarva Power & Light Company,Delaware,RFC,N/A,N/A,vandalism
Sabotage; Vandalism,2013,4/3/2013,11:05 AM,4/3/2013,2:00 PM,Colorado Springs Utilities,Colorado,WECC,0,0,vandalism
Vandalism - Copper Wire Theft,2013,4/1/2013,8:40 AM,4/1/2013,8:41 AM,ISO New England,Connecticut,NPCC,Unknown,Unknown,"vandalism, physical"
Suspected Physical Attack,2013,3/29/2013,10:16 AM,3/29/2013,10:17 AM,Baltimore Gas and Electric,Maryland,RFC,Unknown,Unknown,"vandalism, physical"
Vandalism,2013,3/28/2013,1:01 PM,3/28/2013,1:02 PM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,vandalism
Physical Attack; Vandalism,2013,3/27/2013,10:25 AM,3/27/2013,12:19 PM,ISO New England,Massachusetts,NPCC,Unknown,Unknown,"vandalism, physical"
Vandalism,2013,3/23/2013,7:00 AM,3/23/2013,9:00 AM,ISO New England,Connecticut,NPCC,Unknown,Unknown,vandalism
Suspected Physical Attack,2013,3/18/2013,5:50 PM,3/18/2013,6:07 PM,Jacksonville Electric Authority (JEA),Florida,FRCC,0,0,"vandalism, physical"
Severe Weather - Thunderstorms,2013,3/18/2013,7:30 PM,3/20/2013,2:30 PM,Southern Company,"Alabama, Georgia",SERC,800,"240,000","severe weather, thunderstorm"
Generator Trip; Load Shed,2013,3/18/2013,5:21 AM,3/18/2013,5:41 AM,Puerto Rico Electric Power Authority,Puerto Rico,PR,350,"262,937","load shedding, generator trip"
Severe Weather - Winter Storm,2013,3/6/2013,8:22 AM,3/7/2013,10:27 AM,Dominion Virginia Power,Virginia,SERC,400,"233,000","severe weather, winter storm"
Equipment Failure; Transmission System Interruption,2013,3/4/2013,9:49 AM,3/4/2013,10:00 PM,Puerto Rico Electric Power Authority,Puerto Rico,PR,Unknown,Unknown,"equipment failure, transmission interruption"
Vandalism,2013,3/3/2013,4:27 PM,3/3/2013,6:20 PM,Potomac Electric Power Company,Maryland,RFC,Unknown,Unknown,vandalism
Transmission System Interruption,2013,3/3/2013,6:39 AM,3/3/2013,10:29 AM,Pacific Gas & Electric Co,California,WECC,300,"58,850",transmission interruption
Severe Weather - Winter Storm Nemo,2013,2/26/2013,1:00 PM,3/1/2013,10:00 AM,"Associated Electric Coop, Inc",Missouri,SERC,Unknown,"56,444","severe weather, winter storm"
Vandalism,2013,2/21/2013,11:00 AM,2/21/2013,11:30 AM,El Paso Electric,New Mexico,WECC,Unknown,Unknown,vandalism
Electrical System Separation (Islanding),2013,2/19/2013,4:01 PM,2/20/2013,12:55 PM,Pacific Gas & Electric Co.,California,WECC,"13,850","6,810",islanding
Vandalism,2013,2/16/2013,7:54 AM,2/16/2013,7:54 AM,Potomac Electric Power Company,Maryland,RFC,1,1,vandalism
Vandalism,2013,2/15/2013,12:00 AM,2/15/2013,12:01 AM,Potomac Electric Power Company,Maryland,RFC,N/A,N/A,vandalism
Fuel Supply Emergency - Petroleum,2013,2/13/2013,5:39 PM,2/15/2013,5:50 PM,Footprint Power Salem Harbor Operations LLC,Massachusetts,NPCC,1,1,"fuel supply emergency, petroleum"
Vandalism,2013,2/13/2013,9:30 AM,2/13/2013,9:30 AM,Potomac Electric Power Company,Maryland,RFC,1,1,vandalism
Generator Trip; Voltage Reduction,2013,2/10/2013,7:46 PM,2/10/2013,8:15 PM,Puerto Rico Electric Power Authority,Puerto Rico,PR,350,Unknown,"voltage reduction, generator trip"
Vandalism; Equipment Fault,2013,2/9/2013,8:30 AM,2/9/2013,3:00 PM,El Paso Electric Co.,New Mexico,WECC,Unknown,Unknown,"vandalism, equipment failure"
Severe Weather - Winter Storm Nemo,2013,2/8/2013,8:00 PM,2/11/2013,8:30 PM,ISO New England/National Grid,Massachusetts,NPCC,N/A,"50,000","severe weather, winter storm"
Equipment Trip & Failure,2013,2/8/2013,11:38 AM,2/8/2013,2:17 PM,Potomac Electric Power Company,Maryland,RFC,140,"52,000",equipment failure
Severe Weather - Winter Storm Nemo,2013,2/8/2013,8:55 PM,2/12/2013,4:00 AM,ISO New England/NSTAR,Massachusetts,NPCC,Unknown,"50,000","severe weather, winter storm"
Vandalism,2013,2/7/2013,8:32 AM,2/7/2013,9:47 AM,Duke Energy Ohio Inc,Ohio,RFC,Unknown,0,vandalism
Vandalism,2013,2/2/2013,9:15 PM,2/2/2013,10:15 PM,El Paso Electric Co.,New Mexico,WECC,N/A,N/A,vandalism
Severe Weather - Wind Storm,2013,1/31/2013,6:30 AM,1/31/2013,10:00 AM,ISO New England,Connecticut,NPCC,75,"75,000","severe weather, wind"
Severe Weather - Wind Storm,2013,1/31/2013,3:05 AM,1/31/2013,4:48 AM,Dominion Virginia Power,Virginia,SERC,188,"119,000","severe weather, wind"
Physical Attack,2013,1/28/2013,4:46 PM,1/28/2013,6:00 PM,Tacoma Power (TPWR),Washington,WECC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Wind Storm,2013,1/20/2013,3:30 AM,1/23/2013,6:15 AM,Detroit Edison Co,Michigan,RFC,Unknown,"146,500","severe weather, wind"
Distribution Interruption,2013,1/17/2013,8:35 PM,1/17/2013,9:20 PM,North Carolina Eastern M P A,North Carolina,SERC,40,"12,000",distribution interruption
Severe Weather - Winter Storm,2013,1/17/2013,6:07 PM,1/20/2013,7:30 PM,American Electric Power (AEP),"Virginia, West Virginia",RFC,Unknown,"127,000","severe weather, winter storm"
Severe Weather - Winter Storm,2013,1/17/2013,7:02 PM,1/19/2013,6:00 PM,Tennessee Valley Authority,Tennessee,SERC,Unknown,"80,000","severe weather, winter storm"
Suspected Physical Attack,2013,1/16/2013,4:45 PM,1/16/2013,7:26 PM,Public Service Company of New Mexico,New Mexico,WECC,0,0,"vandalism, physical"
Physcial Attack; Vandalism,2013,1/16/2013,2:25 PM,1/16/2013,2:25 PM,Delmarva Power & Light Company,Maryland,RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack,2013,1/16/2013,7:41 AM,1/17/2013,10:58 AM,MidAmerican Energy Co,Iowa,MRO,N/A,N/A,"vandalism, physical"
Physcial Attack; Vandalism,2013,1/7/2013,10:43 AM,1/7/2013,10:43 AM,Delmarva Power & Light Company,Maryland,RFC,Unknown,Unknown,"vandalism, physical"
Transmission Interruption,2012,12/31/2012,2:21 PM,12/31/2012,4:30 PM,City of Washington - (NC),North Carolina,SERC,40,"12,000",transmission interruption
Severe Weather - Thunderstorm,2012,12/26/2012,2:50 PM,12/26/2012,7:40 PM,Town of Stantonsburg - (NC),North Carolina,SERC,3,"1,200","severe weather, thunderstorm"
"Severe Weather - Cold Front, High Winds",2012,12/25/2012,9:28 AM,12/26/2012,4:28 PM,CenterPoint Energy,Texas,TRE,294,"262,000","severe weather, cold, wind"
Severe Weather - Winter Storm,2012,12/25/2012,12:45 AM,12/28/2012,4:15 PM,Entergy,"Arkansas, Louisiana, Mississippi, Texas",SPP,Unknown,"242,509","severe weather, winter storm"
Suspected Physical Attack,2012,12/17/2012,6:55 AM,12/17/2012,7:00 AM,Tacoma Power (TPWR),Washington,WECC,0,0,"vandalism, physical"
Load Shed,2012,12/6/2012,9:18 PM,12/6/2012,9:31 PM,California Department of Water Resources,California,WECC,390,Unknown,load shedding
Suspected Physical Attack,2012,12/3/2012,12:02 PM,12/3/2012,12:30 PM,Tacoma Power (TPWR),Washington,WECC,0,0,"vandalism, physical"
Severe Weather - Winter Storm,2012,12/2/2012,5:20 AM,12/4/2012,9:00 AM,Pacific Gas & Electric Co,California,WECC,250,"125,000","severe weather, winter storm"
Physical Attack; Vandalism,2012,11/27/2012,1:07 PM,11/27/2012,1:40 PM,ISO New England,New Hampshire,NPCC,0,0,"vandalism, physical"
Physical Attack; Vandalism,2012,11/26/2012,3:07 PM,11/26/2012,3:08 PM,Delmarva Power & Light Company,Delaware,RFC,N/A,N/A,"vandalism, physical"
Physical Attack; Vandalism,2012,11/26/2012,12:37 PM,11/26/2012,12:38 PM,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical"
